Пучок;Количество траекторий;ВПП;Аномалии;Риски по критериям;Индекс нагрузки W;Уровень риска
0;325;11;0;894;6093.0;high
1;364;11;0;919;20017.8;high
2;11;PHX;1;27;57.9;high
3;515;LAX;0;1417;6088.8;high
4;306;SEA;0;921;2467.9;high
5;59;SBA;0;123;296.5;high
6;35;PHNL;0;79;167.2;high
7;11;30L;0;20;76.7;high
8;16;PHLI;0;38;76.8;high
9;1;11;0;0;4.6;н/д
10;1;н/д;0;0;5.8;н/д
11;2;LAX;1;6;13.6;high
12;70;PDX;0;200;639.2;high
13;2;SMF;1;3;8.5;high
14;117;LAX;0;285;2793.4;high
15;5;PDX;0;13;44.8;high
16;1;н/д;0;0;4.0;н/д
17;2;30L;1;5;9.7;high
18;5;09R;1;12;22.5;high
19;1;н/д;0;0;3.8;н/д
20;3;09L;1;6;11.5;high
21;1;н/д;0;0;6.5;н/д
22;1;н/д;0;0;4.0;н/д
23;1;н/д;0;0;5.1;н/д
24;1;30L;0;0;2.6;н/д
25;1;13;0;0;3.9;н/д
26;1;н/д;0;0;3.9;н/д
27;1;н/д;0;0;2.8;н/д
28;1;н/д;0;0;3.7;н/д
29;1;н/д;0;0;4.8;н/д
30;1;н/д;0;0;4.3;н/д
31;1;н/д;0;0;5.0;н/д
32;1;н/д;0;0;2.7;н/д
33;1;н/д;0;0;4.7;н/д
34;1;н/д;0;0;4.8;н/д
35;1;н/д;0;0;4.8;н/д
36;1;н/д;0;0;6.4;н/д
37;1;н/д;0;0;4.6;н/д
38;1;н/д;0;0;5.0;н/д
39;1;н/д;0;0;4.7;н/д
40;1;н/д;0;0;6.1;н/д
41;1;н/д;0;0;6.2;н/д
42;1;н/д;0;0;3.7;н/д
43;1;н/д;0;0;2.9;н/д
44;1;н/д;0;0;3.9;н/д
45;1;н/д;0;0;2.9;н/д
46;1;н/д;0;0;2.9;н/д
47;1;н/д;0;0;5.8;н/д
48;1;12R;0;0;4.8;н/д
49;1;н/д;0;0;4.8;н/д
50;1;н/д;0;0;6.6;н/д
51;1;н/д;0;0;4.0;н/д
52;1;н/д;0;0;2.7;н/д
53;1;н/д;0;0;6.4;н/д
54;1;н/д;0;0;4.6;н/д
55;1;н/д;0;0;4.8;н/д
56;1;н/д;0;0;3.9;н/д
57;1;н/д;0;0;3.0;н/д
58;1;н/д;0;0;3.9;н/д
59;1;н/д;0;0;3.8;н/д
60;1;н/д;0;0;6.5;н/д
61;1;н/д;0;0;6.4;н/д
62;27;11;0;67;141.0;high
63;1;н/д;0;0;4.1;н/д
64;1;н/д;0;0;4.7;н/д
65;4;н/д;0;8;15.8;high
66;2;н/д;1;6;15.8;high
67;1;н/д;0;0;4.8;н/д
68;1;н/д;0;0;2.7;н/д
69;1;н/д;0;0;2.6;н/д
70;1;н/д;0;0;6.4;н/д
71;1;н/д;0;0;4.9;н/д
72;1;н/д;0;0;6.4;н/д
73;1;н/д;0;0;4.9;н/д
74;1;н/д;0;0;2.9;н/д
75;1;н/д;0;0;2.6;н/д
76;1;н/д;0;0;6.3;н/д
77;1;н/д;0;0;4.8;н/д
78;1;н/д;0;0;2.9;н/д
79;1;н/д;0;0;4.8;н/д
80;1;12R;0;0;4.6;н/д
81;1;RNO;0;0;9.4;н/д
82;1;н/д;0;0;2.7;н/д
83;1;н/д;0;0;4.8;н/д
84;1;н/д;0;0;5.8;н/д
85;1;н/д;0;0;6.1;н/д
86;1;н/д;0;0;4.5;н/д
87;3;15;1;5;15.7;high
88;1;12R;0;0;4.8;н/д
89;1;н/д;0;0;6.1;н/д
90;1;11;0;0;6.4;н/д
91;1;н/д;0;0;6.3;н/д
92;1;12L;0;0;4.6;н/д
93;10;13;0;14;23.8;high
94;1;н/д;0;0;6.7;н/д
95;1;н/д;0;0;6.1;н/д
96;1;н/д;0;0;4.8;н/д
97;1;н/д;0;0;6.0;н/д
98;1;н/д;0;0;6.3;н/д
99;1;н/д;0;0;3.0;н/д
100;9;10L;1;19;146.0;high
101;10;RNO;0;26;70.1;high
102;2;н/д;1;3;9.1;high
103;1;н/д;0;0;3.9;н/д
104;2;н/д;1;4;7.8;high
105;1;н/д;0;0;2.8;н/д
106;1;н/д;0;0;2.9;н/д
107;8;н/д;0;13;19.5;high
108;1;н/д;0;0;4.3;н/д
109;1;н/д;0;0;3.9;н/д
110;1;н/д;0;0;4.2;н/д
111;1;н/д;0;0;4.8;н/д
112;1;н/д;0;0;3.0;н/д
113;1;н/д;0;0;4.0;н/д
114;2;н/д;1;4;7.4;high
115;1;н/д;0;0;2.7;н/д
116;1;н/д;0;0;3.0;н/д
117;1;н/д;0;0;4.0;н/д
118;1;н/д;0;0;3.6;н/д
119;1;н/д;0;0;6.4;н/д
120;1;12R;0;0;4.8;н/д
121;1;н/д;0;0;3.8;н/д
122;1;н/д;0;0;6.5;н/д
123;6;MIA;0;14;67.6;high
124;1;30L;0;0;3.2;н/д
125;1;н/д;0;0;3.9;н/д
126;4;12L;0;9;11.2;high
127;4;н/д;0;12;18.2;high
128;1;30L;0;0;5.6;н/д
129;1;н/д;0;0;5.7;н/д
130;1;н/д;0;0;2.8;н/д
131;1;н/д;0;0;5.0;н/д
132;2;н/д;1;2;5.7;high
133;1;12L;0;0;4.7;н/д
134;1;н/д;0;0;2.9;н/д
135;5;SMF;1;11;25.0;high
136;1;н/д;0;0;6.0;н/д
137;1;н/д;0;0;4.6;н/д
138;3;12;1;8;9.7;high
139;1;н/д;0;0;6.2;н/д
140;3;н/д;1;5;10.7;high
141;1;н/д;0;0;6.0;н/д
142;2;PHX;1;6;48.3;high
143;1;н/д;0;0;2.8;н/д
144;4;10R;0;12;15.2;high
145;1;н/д;0;0;6.0;н/д
146;1;н/д;0;0;5.8;н/д
147;1;н/д;0;0;2.9;н/д
148;1;н/д;0;0;4.8;н/д
149;1;н/д;0;0;3.1;н/д
150;1;н/д;0;0;3.6;н/д
151;1;н/д;0;0;4.4;н/д
152;1;н/д;0;0;5.8;н/д
153;2;SMF;1;5;15.3;high
154;1;н/д;0;0;3.9;н/д
155;1;н/д;0;0;2.7;н/д
156;1;н/д;0;0;2.5;н/д
157;1;н/д;0;0;4.0;н/д
158;1;н/д;0;0;2.7;н/д
159;1;н/д;0;0;4.1;н/д
160;1;н/д;0;0;5.9;н/д
161;1;н/д;0;0;3.8;н/д
162;1;н/д;0;0;4.8;н/д
163;4;н/д;0;11;28.2;high
164;1;н/д;0;0;4.0;н/д
165;1;н/д;0;0;5.5;н/д
166;1;н/д;0;0;4.3;н/д
167;1;н/д;0;0;3.8;н/д
168;1;н/д;0;0;2.6;н/д
169;1;н/д;0;0;3.9;н/д
170;1;н/д;0;0;5.8;н/д
171;1;н/д;0;0;3.8;н/д
172;1;н/д;0;0;5.2;н/д
173;1;н/д;0;0;3.8;н/д
174;1;н/д;0;0;4.1;н/д
175;1;н/д;0;0;5.7;н/д
176;1;н/д;0;0;4.0;н/д
177;1;н/д;0;0;6.2;н/д
178;1;н/д;0;0;4.1;н/д
179;1;н/д;0;0;4.1;н/д
180;1;н/д;0;0;5.9;н/д
181;1;н/д;0;0;5.8;н/д
182;1;н/д;0;0;2.7;н/д
183;1;н/д;0;0;5.8;н/д
184;3;н/д;1;5;9.4;high
185;1;12L;0;0;6.2;н/д
186;1;н/д;0;0;4.7;н/д
187;1;н/д;0;0;4.0;н/д
188;1;ORD;0;0;9.1;н/д
189;1;н/д;0;0;5.6;н/д
190;1;н/д;0;0;3.9;н/д
191;1;н/д;0;0;2.7;н/д
192;2;YYZ;1;4;12.3;high
193;1;н/д;0;0;3.9;н/д
194;1;н/д;0;0;5.5;н/д
195;1;н/д;0;0;5.9;н/д
196;1;н/д;0;0;4.0;н/д
